catalog_id,merchant,price,currency,in_stock,timestamp
prod_f5bd547967c14c9fa0a955409f2654bb,Levi's,128,USD,FALSE,4/14/2025 15:41
prod_e171515d35774170a39b239a9c5fd5d5,Levi's,74.98,USD,FALSE,4/15/2025 10:59
prod_e171515d35774170a39b239a9c5fd5d5,Levi's,74.98,USD,FALSE,4/14/2025 15:41
prod_ac68aaa5d7df44f48489e7d39a384615,Etsy - slayvin,97.75,USD,FALSE,4/15/2025 10:59
prod_dfcbf85f5b754a34a0d663df2b0cbfb4,eBay - rade7266,80.25,USD,FALSE,4/15/2025 10:59
prod_dfcbf85f5b754a34a0d663df2b0cbfb4,eBay - rade7266,80.25,USD,FALSE,4/14/2025 15:41
prod_0ca2bfe7543543eebf7c7a0c74672c2c,Amazon.com,73.85,USD,TRUE,4/15/2025 10:59
prod_d442fb53af2c4a22b6b53676a7bf157d,Amazon.com,47.16,USD,TRUE,4/15/2025 10:59
prod_a9b621555f16422ba4db5d89e0f32d13,Kohl's,78,USD,TRUE,4/15/2025 10:59
prod_a9b621555f16422ba4db5d89e0f32d13,Lyst,60,USD,FALSE,4/14/2025 15:41
prod_f6d754204702464d80c1734a10bdce72,eBay - rigoyer28,74.28,USD,TRUE,4/15/2025 10:59
prod_972e8ae88f334b3a919416517656346d,Amazon.com,70,USD,TRUE,4/15/2025 10:59
prod_5514909dcd5541328254e0c3208f8ff5,Taylor Stitch,125,USD,TRUE,4/15/2025 10:59
prod_53b189a201374f31a0e00e2e26dfd1dc,eBay - spotisbuff,95,USD,FALSE,4/14/2025 15:41
prod_c25cd6adfbb344b39aab280300cf0105,Taylor Stitch,118,USD,TRUE,4/15/2025 10:59
prod_8931a3b796f34c9e92afd714cb7d5ea8,Fountainhead NY,118,USD,FALSE,4/15/2025 10:59
prod_c67949773ec6486f8226b963845bc8b2,Fountainhead NY,118,USD,FALSE,4/15/2025 10:59
prod_2ac76ba403b44960aad645ff54cbae0d,Taylor Stitch,138,USD,TRUE,4/15/2025 10:59
prod_2ac76ba403b44960aad645ff54cbae0d,Taylor Stitch,138,USD,TRUE,4/14/2025 15:41
prod_1c86f88a290e4b98a96da251cc83b1ed,Poshmark,42,USD,FALSE,4/15/2025 10:59
prod_65790d7149a840979d5f40b46bbb90c2,Taylor Stitch,138,USD,TRUE,4/15/2025 10:59
prod_65790d7149a840979d5f40b46bbb90c2,Taylor Stitch,138,USD,TRUE,4/14/2025 15:41
prod_edf2f602b6fd4e76b4ad1922927a95c8,Taylor Stitch,138,USD,TRUE,4/15/2025 10:59
prod_9e94dbb2e19f4a238a734852598d4d15,Journeyman Co,118,USD,TRUE,4/15/2025 10:59
prod_9e94dbb2e19f4a238a734852598d4d15,Journeyman Co,118,USD,TRUE,4/14/2025 15:41
prod_6f2bba4cf5b748e6aa957c70ebe38ef8,Huckberry,148,USD,TRUE,4/15/2025 10:59
prod_cc83e19ca1874c91a6197c5066996830,Taylor Stitch,96.6,USD,TRUE,4/14/2025 15:41
prod_c5278d9b044d44bc82f3c6bce8931b7f,Taylor Stitch,125,USD,TRUE,4/15/2025 10:59
prod_c5278d9b044d44bc82f3c6bce8931b7f,Taylor Stitch,125,USD,TRUE,4/14/2025 15:41
prod_9be85bb34942471283e95d300a70aee8,eBay - the.deal.ninja,89.99,USD,TRUE,4/15/2025 10:59
prod_9be85bb34942471283e95d300a70aee8,eBay - the.deal.ninja,89.99,USD,TRUE,4/14/2025 15:41
prod_6c224a0c7f024ab5ace9eb3d94a6ae78,Taylor Stitch,88.8,USD,TRUE,4/15/2025 10:59
prod_f5e2d944455e4da2a0e85d1f878e9297,Taylor Stitch,76.8,USD,TRUE,4/15/2025 10:59
prod_f5e2d944455e4da2a0e85d1f878e9297,Taylor Stitch,76.8,USD,TRUE,4/14/2025 15:41
prod_a132bcffbea04194b737f92fabd9e0be,Filson,101.5,USD,TRUE,4/15/2025 10:59
prod_a132bcffbea04194b737f92fabd9e0be,Filson,101.5,USD,TRUE,4/14/2025 15:41
prod_e6614dfe97fa4a78a0f25977d58ccf13,Geartrade.com,58,USD,FALSE,4/15/2025 10:59
prod_3aef33bd3733482c982aa154c977282c,Barn Owl Vintage Goods,85,USD,TRUE,4/15/2025 10:59
prod_3aef33bd3733482c982aa154c977282c,Barn Owl Vintage Goods,85,USD,TRUE,4/14/2025 15:41
prod_7441152fe66e49cd83dcc938eb37c6cd,Filson,98,USD,TRUE,4/15/2025 10:59
prod_74073ebb1e064656b927361848db1b5e,Filson,145,USD,TRUE,4/15/2025 10:59
prod_4598ddef9cf84e91b743565223b35734,Backcountry.com,250,USD,TRUE,4/15/2025 10:59
prod_4598ddef9cf84e91b743565223b35734,Filson,250,USD,TRUE,4/14/2025 15:41
prod_ed48492729be483f9835a66be93d7264,eBay - patrifit,89.99,USD,FALSE,4/15/2025 10:59
prod_d92e6c19757d471996b91eb50adcd6f5,King Ice,50,USD,FALSE,4/15/2025 10:59
prod_d92e6c19757d471996b91eb50adcd6f5,King Ice,50,USD,FALSE,4/14/2025 15:41
prod_1756d2b46f824aa2b1d392d9912b49b6,King Ice,260,USD,FALSE,4/14/2025 15:41
prod_5daddfcae4d5498ea6a4515b65ac736e,Zumiez,64.99,USD,TRUE,4/15/2025 10:59
prod_5daddfcae4d5498ea6a4515b65ac736e,Zumiez,64.99,USD,TRUE,4/14/2025 15:41
prod_243b922ee288457c9a8e9300466224d4,DK Hardware,802.46,USD,FALSE,4/15/2025 10:59
prod_243b922ee288457c9a8e9300466224d4,Dunnrite Pool Products,549.99,USD,TRUE,4/14/2025 15:41
prod_a9e901214e334aa5af767cfd16b20543,Amazon.com - Seller,349.99,USD,TRUE,4/15/2025 10:59
prod_a9e901214e334aa5af767cfd16b20543,Amazon.com - Seller,349.99,USD,TRUE,4/14/2025 15:41
prod_0d27438c49a841668b496d9a63e2f334,Leslie's Pool Supplies,29.99,USD,FALSE,4/15/2025 10:59
prod_0d27438c49a841668b496d9a63e2f334,InTheSwim Pool Supplies,26.99,USD,FALSE,4/14/2025 15:41
prod_b199e1997b0041ef9e317e238bce5718,Amazon.com - Seller,399.99,USD,TRUE,4/15/2025 10:59
prod_b199e1997b0041ef9e317e238bce5718,DICK'S Sporting Goods,399.99,USD,FALSE,4/14/2025 15:41
prod_84ab32f30d204a69aef3c50c14c09371,DICK'S Sporting Goods,189.99,USD,FALSE,4/15/2025 10:59
prod_84ab32f30d204a69aef3c50c14c09371,DICK'S Sporting Goods,189.99,USD,FALSE,4/14/2025 15:41
prod_96a12e6fd8914998bb2da054b4bbf76e,DICK'S Sporting Goods,169.99,USD,TRUE,4/15/2025 10:59
prod_96a12e6fd8914998bb2da054b4bbf76e,Walmart - Dunn-Rite Products,159.99,USD,TRUE,4/14/2025 15:41
prod_67632357aba44f149c310a8018cef6e0,InTheSwim Pool Supplies,169.99,USD,TRUE,4/15/2025 10:59
prod_94420aa0d71b4185a65681deba4682c0,DICK'S Sporting Goods,299.99,USD,TRUE,4/15/2025 10:59
prod_94420aa0d71b4185a65681deba4682c0,DICK'S Sporting Goods,299.99,USD,TRUE,4/14/2025 15:41
prod_1e64d898056045e4a8bf2f71dd37f2b0,adidas,140,USD,FALSE,4/14/2025 15:41
prod_f0e4afeca1024f339d5498abf7a26dcc,adidas,90,USD,FALSE,4/14/2025 15:41
prod_2cefe2c44aec4ef2985a1538f0a7f459,adidas,67.5,USD,FALSE,4/15/2025 10:59
prod_43def1f4047f4bd19c7b864313000971,adidas,24,USD,FALSE,4/15/2025 10:59
prod_43def1f4047f4bd19c7b864313000971,adidas,32,USD,FALSE,4/14/2025 15:41
